报告日期,2013/9/30,2013/6/30,2013/3/31,2012/12/31,2012/9/30,2012/6/30,2012/3/31,2011/12/31,2011/9/30,2011/6/30,2011/3/31,2010/12/31,2010/9/30,2010/6/30,2010/3/31,2009/12/31,2009/9/30,2009/6/30,2009/3/31,2008/12/31,2008/9/30,2008/6/30,2008/3/31,2007/12/31,2007/9/30,2007/6/30,2007/3/31,2006/12/31,
货币资金(万元),733983,726734,631756,963111,921381,1066959,689377,1024699,1065689,1126573,988860,597040,490574,497903,314595,307693,227200,246605,250119,293756,295965,311087,261383,260545,209787,155803,102962,119989,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
交易性金融资产(万元),9663,6947,7330,8089,4322,1667,8012,2073,2351,3023,4331,5314,4072,1958,401,258,557,1203,1444,1444,791,19223,42582,41920,53705,21717,19079,25145,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
应收票据(万元),44338,90649,64718,170678,57333,115454,37894,105092,123053,66414,77119,111317,23006,42847,42256,18387,26130,21721,13965,18956,17858,22435,27555,33188,25462,7778,18776,20099,
应收账款(万元),2254989,2325942,2250394,1497445,2070062,2292375,2012285,1130487,1488772,1335511,1323958,572791,792282,811826,745834,385152,478380,406507,347113,310186,347563,313721,266654,206650,214481,183152,165110,80160,
预付款项(万元),74812,88061,137428,99725,145409,184101,166691,197712,232879,203267,136965,133536,143928,118764,105492,51180,67048,49661,103984,66942,90258,66207,64153,49126,109067,53825,44015,39354,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,
其他应收款(万元),171968,139219,178559,133974,100873,91392,138434,78386,58645,65555,70388,54951,35329,39176,30891,16629,17164,14765,18776,15043,18258,15294,21282,12451,15426,13427,18921,13029,
应收出口退税(万元), --,1029348,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
存货(万元),989914,1149000,1082235,1051136,992704,1022479,1029348,813441,912028,780284,726653,568727,516963,492677,396628,293953,315518,364796,361742,301258,319380,343094,295100,234290,195569,172270,160069,159164,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,
其他流动资产(万元),50161,50870,67772,64158,58661,51286,40784,26489,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,
流动资产合计(万元),4329828,4577423,4420192,3988315,4350745,4825712,4122824,3378378,3883416,3580627,3328274,2043675,2006153,2005150,1636097,1073252,1131997,1105258,1097144,1007585,1090073,1091062,978710,838170,823496,607973,528931,456940,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
可供出售金融资产(万元),22778,22500,27778,29444,23055,26722,30944,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,950,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,
长期应收款(万元),--,--,--,--,1102,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,
长期股权投资(万元),35310,34976,35674,31041,31114,28408,29061,32890,24278,23248,18435,19794,22053,21442,21917,20667,19541,19372,19341,18621,18802,18352,16941,16941,4607,4809,4743,4743,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
固定资产原值(万元),--,1904980,--,1895019,--,1671612,--,1252681,--,911590,--,757391,--,625179,--,377308,0,315626,--,300713,--,230550,--,206903,--,163745,0,171807,
累计折旧(万元),--,446101,--,402308,--,350268,--,198721,--,168826,--,141761,--,119543,--,81734,0,68457,--,58074,--,49699,--,41190,--,33374,0,33605,
固定资产净值(万元),--,1458879,--,1492711,--,1321344,--,1053960,--,742764,--,615630,--,505637,--,295574,0,247169,--,242639,--,180850,--,165713,--,130371,0,138201,
固定资产减值准备(万元),--,841,--,972,--,1069,--,1076,--,585,--,792,--,643,--,643,0,643,--,643,--,643,--,659,--,651,0,585,
固定资产(万元),1444327,1458039,1479237,1491739,1341941,1320275,1086988,1052884,757582,742179,692468,614838,530465,504994,374641,294931,259508,246526,238183,241996,207456,180208,170703,165055,142216,129720,134512,137617,
在建工程(万元),372273,362635,358030,316865,419402,362952,356969,314231,409096,312745,249560,216649,223456,153837,122599,91663,102404,83284,72528,63317,70940,63585,51402,45961,33870,12000,9772,11688,
工程物资(万元),33206,43938,48267,68205,76558,103243,114040,116337,159080,126377,86714,67492,57928,37065,30824,14662,13707,10471,11241,9548,4364,12187,8234,5837,6210,7661,0,3436,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
无形资产(万元),465740,463514,465665,475457,343447,342294,229233,215994,185971,166050,172270,156010,125615,125850,79644,63136,31407,31315,31077,31395,30147,30258,29481,27903,20361,16297,8294,15330,
开发支出(万元),31643,26175,19194,15876,92,124,124,91,60,60,444,356,407,397,86,86,898,898,898,812,--,0,0,0,0,0,0,0,
商誉(万元),4108,3987,3980,4118,36963,32292,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,
长期待摊费用(万元),1736,1909,1812,1812,2570,2688,2082,1608,2216,1363,238,218,222,279,286,363,144,167,191,213,--,0,0,0,0,131,0,80,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
递延所得税资产(万元),26814,27913,17612,18371,40874,42686,20279,18259,18714,22507,21268,15045,22950,25332,37321,24760,29450,28725,24161,23246,25174,25617,20658,18046,32034,25173,4177,1414,
其他非流动资产(万元),11621,9345,5357,4898,--,--,271979,--,--,--,--,--,--,0,180,180,0,0,--,--,--,0,0,0,0,0,0,0,
非流动资产合计(万元),2449556,2454930,2462606,2457825,2318068,2261684,2141700,1752294,1556996,1394529,1241396,1090401,983096,869196,667498,510448,457059,420758,397617,389149,356884,330206,297419,279743,239296,195792,161499,174308,
资产总计(万元),6779384,7032353,6882798,6446140,6668813,7087396,6264524,5130672,5440412,4975156,4569671,3134077,2989249,2874347,2303595,1583700,1589056,1526016,1494761,1396734,1446957,1421268,1276128,1117913,1062793,803765,690430,631247,
短期借款(万元),629859,813889,512421,565856,955959,1122166,1282838,950213,1207804,1188004,1129507,499444,429399,398292,257935,94060,97020,99597,117667,96176,112531,114932,117154,118729,136924,73201,118434,106442,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
交易性金融负债(万元),51325,42894,27006,27931,9327,14955,2644,3646,3807,1403,--,21,--,2872,0,0,1216,2699,6153,5636,3965,1918,3480,1042,-2637,1509,-72,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
应付票据(万元),225522,236696,203029,162878,101860,200069,154081,260348,263147,271291,273137,227700,305613,272463,103769,51638,79550,88261,84779,36909,73839,104361,71083,43373,46281,34083,26315,29647,
应付账款(万元),715289,865742,658105,419206,598974,765377,763519,406682,571217,673745,560443,438874,349735,382887,295914,126416,169688,155701,129359,120146,140128,161034,148917,127174,124606,76760,66891,58332,
预收账款(万元),106731,107925,133853,188599,109950,100257,120999,89212,146932,82424,115745,95849,70967,108255,63346,44142,34604,42443,41049,59280,54254,41194,49242,32709,20265,16959,16945,15430,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,0,--,0,0,0,
应付职工薪酬(万元),27706,29068,35205,33301,29753,37047,25940,30940,17891,20803,23571,31363,12151,14006,9797,4998,4381,3837,3324,3320,2792,2979,2979,2856,3087,3064,2279,2443,
